Model,F1 (Fraud),Recall (Fraud),Precision (Fraud),AUC-ROC,Avg Precision
GCN Baseline,0.2229299363057325,0.22587931590835753,0.22005658597925182,0.7455689963363153,0.15155836893082428
Hybrid GAT+VAE,0.06777696370575306,1.0,0.035077194729931635,0.4085491610736647,0.03046078825834974
